the,769
of,615
and,583
music,507
a,333
in,296
to,260
or,195
as,176
is,173
The,119
Music,112
from,107
by,104
on,102
with,96
that,95
musical,94
are,92
for,90
In,79
such,79
which,64
an,63
be,62
was,51
have,49
were,44
may,44
their,43
instruments,43
classical,42
also,42
often,42
this,41
many,40
it,40
elements,39
article,38
at,38
A,38
can,38
Archived,37
century,37
th,37
has,36
other,35
Main,35
songs,34
more,34
song,34
composers,32
Western,32
popular,31
â€“,31
different,31
notes,31
s,31
melody,30
used,30
sound,29
styles,29
some,29
musicians,28
form,27
original,26
bands,26
notation,26
Retrieved,26
jazz,26
including,25
not,25
ISBN,24
p,24
piece,23
eg,23
Classical,23
study,22
there,22
period,22
Musical,22
been,21
Baroque,21
era,21
women,21
traditional,21
but,20
most,20
section,20
instrument,20
pitch,20
art,20
one,20
types,20
time,20
when,20
example,20
Oxford,20
bass,19
written,19
new,19
history,19
using,19
singers,19
theory,19
cultures,19
performance,19
Press,19
how,18
its,18
played,18
between,18
they,18
performers,18
include,18
performed,18
rock,17
who,17
instrumental,17
important,16
This,16
University,16
into,16
same,16
note,16
all,16
piano,16
common,16
forms,16
musicology,16
create,15
guitar,15
playing,15
chord,15
called,15
Some,15
these,15
texture,15
October,15
It,14
January,14
parts,14
typically,14
electric,14
For,14
genres,14
sheet,14
composition,14
Romantic,13
style,13
New,13
than,13
Wayback,13
use,13
about,13
needed,13
Greek,13
structure,13
Machine,13
rhythm,13
blues,13
well,12
pop,12
player,12
Dictionary,12
pieces,12
orchestras,12
play,12
timbre,12
only,12
Ancient,12
world,12
traditions,12
two,11
single,11
improvisation,11
scale,11
while,11
could,11
culture,11
C,11
improvised,11
much,11
singing,11
became,11
concert,11
sounds,11
part,11
work,11
during,11
number,11
History,11
religious,10
uses,10
Online,10
social,10
Nettl,10
folk,10
would,10
perform,10
tradition,10
tone,10
World,10
human,10
players,10
make,10
practice,10
What,10
adding,10
word,10
both,10
April,10
improve,10
through,10
field,10
Indian,10
pp,10
string,10
them,10
composer,10
associated,10
major,10
Asia,9
over,9
range,9
Origins,9
changes,9
recordings,9
J,9
harmony,9
dynamics,9
audience,9
though,9
known,9
concerts,9
out,9
individuals,9
December,9
tempo,9
ed,9
do,9
key,9
developed,9
performances,9
education,9
live,9
genre,9
made,9
few,8
take,8
melodies,8
role,8
recording,8
home,8
programs,8
scales,8
Etymology,8
Brown,8
sometimes,8
main,8
universities,8
notated,8
record,8
based,8
down,8
May,8
definition,8
what,8
nonWestern,8
vocal,8
performer,8
sources,8
